学校,地区,专业方向,导师,推荐建议
趋势传媒有限公司大学,南京,可再生能源建筑应用,周教授,课题方向契合国家战略，发展前景好
惠派国际公司传媒有限公司大学,哈尔滨,绿色建筑设计,马教授,实验资源丰富，重视实践能力
双敏电子信息有限公司大学,北京,室内环境控制,赵教授,导师指导细致，团队合作密切
维涛科技有限公司大学,南京,室内环境控制,刘教授,实验资源丰富，重视实践能力
方正科技科技有限公司大学,南京,可再生能源建筑应用,井教授,导师指导细致，团队合作密切
东方峻景信息有限公司大学,西安,建筑环境与能源应用工程,张教授,实验资源丰富，重视实践能力
泰麒麟网络有限公司大学,重庆,暖通系统仿真,周教授,适合从事建筑节能与智能化研究
天益信息有限公司大学,哈尔滨,绿色建筑设计,宋教授,适合从事建筑节能与智能化研究
良诺信息有限公司大学,沈阳,建筑设备与自动化,詹教授,适合从事建筑节能与智能化研究
盟新网络有限公司大学,天津,建筑通风系统设计,方教授,实验资源丰富，重视实践能力
快讯信息有限公司大学,重庆,热舒适研究,倪教授,导师指导细致，团队合作密切
七喜信息有限公司大学,上海,建筑通风系统设计,曾教授,导师指导细致，团队合作密切
易动力网络有限公司大学,沈阳,建筑环境与能源应用工程,王教授,适合从事建筑节能与智能化研究
太极网络有限公司大学,南京,建筑环境与能源应用工程,杨教授,适合从事建筑节能与智能化研究
方正科技网络有限公司大学,南京,热舒适研究,张教授,适合从事建筑节能与智能化研究
维涛信息有限公司大学,天津,智能控制,邹教授,实验资源丰富，重视实践能力
七喜信息有限公司大学,沈阳,碳中和技术,王教授,科研氛围浓厚，适合深入发展
戴硕电子网络有限公司大学,武汉,绿色建筑设计,曾教授,导师指导细致，团队合作密切
通际名联信息有限公司大学,青岛,建筑节能,李教授,实验资源丰富，重视实践能力
菊风公司网络有限公司大学,西安,暖通系统仿真,罗教授,导师指导细致，团队合作密切
东方峻景传媒有限公司大学,成都,绿色建筑设计,章教授,课题方向契合国家战略，发展前景好
MBP软件信息有限公司大学,武汉,室内环境控制,杨教授,导师指导细致，团队合作密切
银嘉传媒有限公司大学,广州,建筑通风系统设计,聂教授,实验资源丰富，重视实践能力
超艺网络有限公司大学,成都,建筑设备与自动化,江教授,导师指导细致，团队合作密切
网新恒天网络有限公司大学,北京,热舒适研究,国教授,课题方向契合国家战略，发展前景好
恒聪百汇信息有限公司大学,北京,智能控制,耿教授,适合从事建筑节能与智能化研究
天开传媒有限公司大学,上海,可再生能源建筑应用,史教授,适合从事建筑节能与智能化研究
华远软件科技有限公司大学,南京,绿色建筑设计,薛教授,导师指导细致，团队合作密切
网新恒天信息有限公司大学,成都,智能控制,顾教授,科研氛围浓厚，适合深入发展
雨林木风计算机网络有限公司大学,南京,热舒适研究,陈教授,适合从事建筑节能与智能化研究
易动力网络有限公司大学,哈尔滨,智能控制,李教授,课题方向契合国家战略，发展前景好
易动力网络有限公司大学,北京,碳中和技术,边教授,科研氛围浓厚，适合深入发展
数字100信息有限公司大学,武汉,建筑环境与能源应用工程,包教授,适合从事建筑节能与智能化研究
佳禾传媒有限公司大学,南京,建筑设备与自动化,韦教授,科研氛围浓厚，适合深入发展
惠派国际公司传媒有限公司大学,西安,热舒适研究,冯教授,科研氛围浓厚，适合深入发展
时刻网络有限公司大学,武汉,智能控制,刘教授,课题方向契合国家战略，发展前景好
浦华众城网络有限公司大学,西安,建筑设备与自动化,张教授,导师指导细致，团队合作密切
网新恒天网络有限公司大学,哈尔滨,智能控制,任教授,导师指导细致，团队合作密切
菊风公司信息有限公司大学,成都,绿色建筑设计,田教授,适合从事建筑节能与智能化研究
彩虹网络有限公司大学,成都,室内环境控制,张教授,实验资源丰富，重视实践能力
双敏电子信息有限公司大学,北京,建筑设备与自动化,王教授,科研氛围浓厚，适合深入发展
思优网络有限公司大学,哈尔滨,建筑通风系统设计,梁教授,实验资源丰富，重视实践能力
商软冠联网络有限公司大学,青岛,暖通系统仿真,李教授,课题方向契合国家战略，发展前景好
佳禾科技有限公司大学,武汉,智能控制,朱教授,科研氛围浓厚，适合深入发展
浦华众城网络有限公司大学,成都,绿色建筑设计,张教授,导师指导细致，团队合作密切
精芯传媒有限公司大学,青岛,建筑节能,陈教授,科研氛围浓厚，适合深入发展
思优网络有限公司大学,沈阳,智能控制,吴教授,实验资源丰富，重视实践能力
易动力传媒有限公司大学,广州,智能控制,孙教授,适合从事建筑节能与智能化研究
华成育卓科技有限公司大学,哈尔滨,智能控制,杨教授,导师指导细致，团队合作密切
超艺网络有限公司大学,西安,建筑设备与自动化,郑教授,科研氛围浓厚，适合深入发展
快讯网络有限公司大学,沈阳,室内环境控制,蔡教授,导师指导细致，团队合作密切
九方传媒有限公司大学,青岛,碳中和技术,杨教授,适合从事建筑节能与智能化研究
东方峻景传媒有限公司大学,天津,建筑设备与自动化,林教授,实验资源丰富，重视实践能力
商软冠联传媒有限公司大学,广州,可再生能源建筑应用,潘教授,科研氛围浓厚，适合深入发展
创联世纪科技有限公司大学,西安,建筑设备与自动化,岑教授,导师指导细致，团队合作密切
中建创业传媒有限公司大学,沈阳,暖通系统仿真,卢教授,导师指导细致，团队合作密切
银嘉信息有限公司大学,南京,室内环境控制,周教授,课题方向契合国家战略，发展前景好
国讯网络有限公司大学,武汉,可再生能源建筑应用,刘教授,适合从事建筑节能与智能化研究
MBP软件科技有限公司大学,上海,热舒适研究,李教授,科研氛围浓厚，适合深入发展
黄石金承科技有限公司大学,重庆,智能控制,张教授,导师指导细致，团队合作密切
晖来计算机网络有限公司大学,成都,建筑环境与能源应用工程,王教授,课题方向契合国家战略，发展前景好
恒聪百汇信息有限公司大学,南京,绿色建筑设计,周教授,适合从事建筑节能与智能化研究
黄石金承信息有限公司大学,武汉,建筑环境与能源应用工程,萧教授,实验资源丰富，重视实践能力
艾提科信信息有限公司大学,成都,建筑设备与自动化,汤教授,适合从事建筑节能与智能化研究
创亿科技有限公司大学,哈尔滨,建筑通风系统设计,王教授,课题方向契合国家战略，发展前景好
联软网络有限公司大学,重庆,室内环境控制,王教授,适合从事建筑节能与智能化研究
晖来计算机科技有限公司大学,成都,建筑设备与自动化,范教授,导师指导细致，团队合作密切
泰麒麟传媒有限公司大学,天津,室内环境控制,刘教授,实验资源丰富，重视实践能力
创汇科技有限公司大学,广州,暖通系统仿真,魏教授,课题方向契合国家战略，发展前景好
浙大万朋信息有限公司大学,北京,建筑环境与能源应用工程,姜教授,课题方向契合国家战略，发展前景好
商软冠联网络有限公司大学,青岛,绿色建筑设计,马教授,科研氛围浓厚，适合深入发展
维旺明网络有限公司大学,沈阳,智能控制,李教授,导师指导细致，团队合作密切
合联电子信息有限公司大学,南京,暖通系统仿真,杨教授,适合从事建筑节能与智能化研究
太极信息有限公司大学,南京,暖通系统仿真,李教授,课题方向契合国家战略，发展前景好
济南亿次元信息有限公司大学,天津,暖通系统仿真,张教授,科研氛围浓厚，适合深入发展
济南亿次元传媒有限公司大学,重庆,热舒适研究,李教授,导师指导细致，团队合作密切
浦华众城网络有限公司大学,北京,碳中和技术,马教授,实验资源丰富，重视实践能力
银嘉网络有限公司大学,武汉,建筑设备与自动化,温教授,实验资源丰富，重视实践能力
东方峻景网络有限公司大学,上海,热舒适研究,龙教授,科研氛围浓厚，适合深入发展
联通时科科技有限公司大学,广州,建筑节能,潘教授,科研氛围浓厚，适合深入发展
方正科技传媒有限公司大学,哈尔滨,暖通系统仿真,李教授,科研氛围浓厚，适合深入发展
和泰传媒有限公司大学,北京,室内环境控制,姬教授,科研氛围浓厚，适合深入发展
联软科技有限公司大学,重庆,暖通系统仿真,张教授,导师指导细致，团队合作密切
华远软件传媒有限公司大学,西安,碳中和技术,孔教授,实验资源丰富，重视实践能力
明腾科技有限公司大学,重庆,智能控制,巫教授,适合从事建筑节能与智能化研究
济南亿次元传媒有限公司大学,北京,暖通系统仿真,刘教授,实验资源丰富，重视实践能力
昊嘉科技有限公司大学,沈阳,建筑通风系统设计,牟教授,实验资源丰富，重视实践能力
天开网络有限公司大学,沈阳,室内环境控制,蔡教授,导师指导细致，团队合作密切
济南亿次元信息有限公司大学,广州,建筑节能,池教授,导师指导细致，团队合作密切
数字100科技有限公司大学,成都,室内环境控制,张教授,科研氛围浓厚，适合深入发展
合联电子传媒有限公司大学,广州,建筑节能,佟教授,课题方向契合国家战略，发展前景好
浙大万朋信息有限公司大学,天津,建筑节能,李教授,实验资源丰富，重视实践能力
趋势科技有限公司大学,北京,建筑节能,杨教授,导师指导细致，团队合作密切
数字100传媒有限公司大学,上海,绿色建筑设计,侯教授,导师指导细致，团队合作密切
晖来计算机传媒有限公司大学,重庆,绿色建筑设计,张教授,课题方向契合国家战略，发展前景好
图龙信息网络有限公司大学,广州,智能控制,任教授,课题方向契合国家战略，发展前景好
